Général;référence;Lamarck;Buffon;Lavoisier;Condorcet;Grands Moulins;Halle aux Farines;bat 7;Diapason;bat 10A;bat 11B;bat 14B;bat 1;bat 1+2+3+4+5;bat 1A+1B;bat 8;bat B;bat H;bat L;bat EREVE
;portfolio;P7;P7;P7;P7;P7;P7;Rennes 1;Rennes 1;Rennes 1;Rennes 1;Rennes 1;Rennes 1;Rennes 1;Rennes 1;Rennes 1;Rennes 2;Rennes 2;Rennes 2;Rennes 2
Adresse;pays;France;France;France;France;France;France;France;France;France;France;France;France;France;France;France;France;France;France;France
;ville;Paris;Paris;Paris;Paris;Paris;Paris;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;Lannion;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes
;code postal;75013;75013;75013;75013;75013;75013;;;;;;;;;;;;;
;adresse;35 rue Hélène Brion;4 rue Marie-Andrée Lagroua Weill-Halle;15 rue Jean de Baïf ;10 rue Alice Domon et Léonie Duquet;5 rue Thomas Mann;2 rue Marguerite Duras ;263 avenue du Général Leclerc;263 avenue du Général Leclerc;263 avenue du Général Leclerc;263 avenue du Général Leclerc;263 avenue du Général Leclerc;7 place Hoche; Rue Édouard Branly;9 rue Jean Macé;2 avenue du Professeur Léon Bernard;Place du recteur Henri Le Moal;Place du recteur Henri Le Moal;Place du recteur Henri Le Moal;Place du recteur Henri Le Moal
;Coordonnées GPS;;;;;;;48.116992, -1.634921;48.118228, -1.644067;48.115561, -1.639589;48.116887, -1.640652;48.117934, -1.638821;;48.758093, -3.452446;;48.117651, -1.697616;48.119278, -1.703661;48.120747, -1.701800;48.119770, -1.701846;48.118914, -1.701822
;secteur;;;;;;;Beaulieu;Beaulieu;Beaulieu;Beaulieu;Beaulieu;Hoche;IUT Lannion;Jean Macé;Villejean;Villejean;Villejean;Villejean;Villejean
Surfaces;Usages;"Administration
Laboratoire lourd
Enseignement";"Administration
Laboratoire lourd
Enseignement";"Administration
Laboratoire lourd
Enseignement";"Administration
Laboratoire lourd
Enseignement";"Administration
Enseignement
Bibliothèque";Enseignement;Travaux pratiques;"Restauration
Sport
Vie sociale & culturelle";Recherche;Recherche;Recherche;Enseignement;Enseignement;Enseignement;Recherche;Enseignement;Bibliothèque;Enseignement;"Restauration
Vie sociale & culturelle"
;Surfaces par usage;"3908 m²
2675 m²
1860 m²";"7161 m²
9091 m²
2895 m²";"3772 m²
1925 m²
1298 m²";"9764 m²
3077 m²
3491 m²";"15693 m²
5781 m²
5231 m²";16044 m²;?;?;?;?;?;?;?;?;?;?;?;?;?
;surface totale;11500;19148;10803;18850;27532;17082;3688;4951;7725;3525;2908;7492;6551;15630;2650;13422;14574;11451;2853
;Nombre de niveau (compris RDC);14;10;11;11;9;6;2;2;4;3;6;4;3;7;4;4;3;3;3
;IGH ?;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;status ERP;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;oui;oui
Baux;statut locatif;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;nombre de baux;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;nombre de places de parking;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;surface de parking;3056;0;2306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Contrôle/utilisation;Control;;;;;;;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété;Pleine propriété
;utilisateur;UPD;UPD, IJM;UPD;UPD;UPD, CROUS;UPD, CROUS;UR1;UR1;UR1;UR1;UR1;UR1;UR1;UR1;UR1;UR2;UR2;UR2;UR2, CROUS
;année de construction;2006;2007;2007;2006;1921;1950;1968;2005;1966;1966;2001;1850;1970;1963;2008;1967;1967;1992;2004
;dernière rénovation significative;;;;;2006;2006;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON
DPE ;"DPE 
Cons. énérgétique
Grade (A-G)";E;G;E;D;D;D;E;C;E;G;F;D;C;C;G;C;C;C;E
;"DPE 
Cons. Énérgétique
Valeur ";492;1073;448;330;250;270,1;410;165;519;798;700;342;144;181;1258;199;193;205;377
;"DPE 
Emission CO2
Grade (A-G)";C;E;C;C;C;D;D;C;D;E;E;E;C;D;E;B;B;B;C
;"DPE 
Emission CO2
Valeur ";29;80;30;22;17;44,1;58;26;59;76;67;66;21;33;95;12;14;14;22
"Consos chaleur
(kWhEF/m².an)";Chauffage;42,1;279,8;69,3;60,2;61,8;70,8;227,7;104,29;211,95;98,1;77,55;127,22;62,57;117,13;212,99;103,17;48,8;58,72;109,47
;ECS;16,9;;;;;0,0;0;0;0;0;1,81;0;0;0;0;0;0;0;81,67
"Consos électricité
(kWhEF/m².an)";Chauffage;0;0;0;0;0;0;0;0,29;0;0;0;0;0;0;15,47;0;0;1,06;5,89
;ECS;0;12,4;2,5;0,3;2,4;0;1,98;0;0;1,51;1,53;0,43;0,53;0,09;0,75;0,07;0,3;0,67;0
;Froid;33,7;24,9;29,7;21,2;13,3;28,6;0;0;0;0;0;0;0;0;1,49;0;0;0;0
;Eclairage;84,3;87,0;27,2;3,3;6,1;20,4;7,9;12,87;0;10,86;12,43;10,08;7,71;7,61;9,74;11,26;13,3;22,21;13,38
;Ventilation;30,9;0,0;4,9;1,6;0,0;0,0;12,54;19,81;0;19,42;58,44;5,42;0,54;5,84;141,38;0,29;2,72;5,18;15,86
;Auxiliaires;5,6;56,0;9,9;0,0;0,0;15,0;0,97;4,7;0;2,29;10,54;4,23;3,88;2,75;3,35;3,08;2,35;1,18;4,51
;Elec. Spécifique;67,4;161,7;103,9;76,5;37,6;1,4;47,23;3,54;143,3;232,3;157,81;16,22;18,81;8,32;232,7;22,45;37,32;26,41;32,3
Certifications;"Type certificat ou label  ""construction""";NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON
;"Etat certificat ou label  ""TRAVAUX""";NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON
;"Type certificat ou label ""exploitation""";NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON
;"Etat certificat ou label  ""EXPLOIT""";NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON
Appréciation confort;thermique;Moyen;Mauvais;Moyen;Mauvais;Mauvais;Mauvais;Mauvais;Bon;Mauvais;Moyen;Bon;Bon;Moyen;Moyen;Bon;Moyen;Bon;Moyen;Moyen
;acoustique;Bon;Moyen;Moyen;Mauvais;Moyen;Mauvais;;;;;;;;;;;;;
;visuel;Bon;Bon;Moyen;Moyen;Moyen;Mauvais;Bon;Moyen;Bon;Bon;Bon;Moyen;Bon;Bon;Bon;Bon;Moyen;Moyen;Bon
structures;vetusté;Neuf;Neuf;Neuf;Neuf;Neuf;Neuf;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;système poteau/poutre béton. Facades porteuses;système poteau/poutre béton. Facades porteuses;système poteau/poutre béton. Facades porteuses;système poteau/poutre béton. Facades porteuses;système poteau/poutre béton. Facades porteuses;système poteau/poutre béton. Facades porteuses;béton;mixte béton acier;béton;béton;béton;"Eléments en
pierre et
Placoplâtre";"éléments panneaux
préfabriqués entre poteaux";"Béton, lame
d’air, briques
plâtrières";béton armé et isolation interieure;Béton;Béton;Béton;Béton
facades;vetusté;Moyen;Bon ;Bon;Bon;Bon;Bon;Neuf ou Bon état;Neuf ou Bon état;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Etat moyen;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;béton avec allege préfa;bardage;béton;béton avec allège préfa;béton;pierre ou brique;Béton avec allège préfa;béton;béton  avec allège préfa;Béton armé;Béton armé;Béton armé;Béton armé
toitures;vetusté;Bon;Bon;Bon;Moyen;Moyen;Moyen;Mauvais état;Neuf ou Bon état;Mauvais état;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Mauvais état;Neuf ou Bon état;Mauvais état;Mauvais état;Mauvais état;Mauvais état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;toiture terrasse;toiture terrasse;toiture terrasse;toiture terrasse;couverture ardoises sur charpente béton;toiture voutée en béton étanché;Toiture terrasse + sheds;toiture terrasse;toiture terrasse;toiture terrasse + sheds;faux plafond;"Planchers
hauts sur
combles non
isolés et
rampants
toitures";terrasse;"Toiture
terrasse et
zinc ";toiture terasse;Toiture terrasse béton;Toiture terrasse béton;Toiture terrasse béton;Toiture terrasse béton + toiture terrasse bac acier
production Chaud;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Etat moyen;Mauvais état;Neuf ou Bon état;Etat moyen;Etat moyen;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;sous-station CPCU;sous-station CPCU;sous-station CPCU;sous-station CPCU;sous-station CPCU;sous-station CPCU;sous station alimentée par la sous station du bat 6;Une chaufferie gaz comprenant 2 chaudières;sous station alimentée par le réseau de beaulieu;"Sous-station alimenté par
la sous station du
bâtiment 11 A";"Sous station
raccordée au
secondaire de la
sous station
principale du 14A";"Une chaufferie gaz
située au sous-sol du
bâtiment 1, comprenant 2 chaudières";chaufferie gaz   ;chaufferie gaz comportant 2 chaudières;"Une sous station
de chauffage
urbain avec trois
échangeurs
« hiver » et 1
échangeur « été »";Echangeurs des bâtiments B, H et P venant du chauffage urbain de Villejean;Echangeurs des bâtiments B, H et P venant du chauffage urbain de Villejean;Echangeurs des bâtiments B, H et P venant du chauffage urbain de Villejean;Echangeurs des bâtiments B, H et P venant du chauffage urbain de Villejean
production Froid;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;Etat moyen;Neuf ou Bon état;Neuf ou Bon état;;Etat moyen;Etat moyen;Neuf ou Bon état;;Neuf ou Bon état;;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;;Non-conformité majeure;Conforme;Conforme;;Conforme;Conforme;Conforme;;Conforme;;Conforme
;descriptif sommaire;;;;;;;SO;SO;GF pour maintien en température du circuit d’eau réfrigérée ;"Climatisation pour
salle blanche et
laboratoires";1 GF qui alimente les batteries à eau glacée des CTA;SO;Climatiseurs pour locaux informatiques.;Climatiseurs pour locaux informatiques.;1 GF à condensation à air;SO;1 GF ;SO;2 splits pr local radio + GF pour conservation alimentaire restaurant
TGBT;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
distribution électrique;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
distribution thermique;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
terminaux chauffage;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Neuf ou Bon état;Neuf ou Bon état;Mauvais état;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Etat moyen;Mauvais état;Neuf ou Bon état;Etat moyen;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;radiateurs à ailettes;radiateurs à ailettes;radiateurs à ailettes;radiateurs à ailettes;radiateurs à ailettes;radiateurs à ailettes;"Radiateurs acier à
robinets
thermostatiques + Radiateurs à ailettes à
robinets manuels";Radiateurs acier + radiateurs à ailettes équipés de robinets thermostatiques + CTA + Ventilo-convecteur + Tubes radiants gaz;radiateurs haute température fonctionnant par convection ( en cours de remplacement par radiateurs à rayonnement et robinet thermostatique;radiateurs aciers à robinets thermostatiques;"Radiateurs à ailettes à
robinets manuels";équipés de robinets;"Bâtiments anciens:
radiateurs aciers robinets de
fermeture d’origine
 parties rénovés :
à robinets
thermostatiques      ";"Radiateurs acier
Plancher chauffant
Ventilo-convecteur";CTA + radiateurs;radiateurs;radiateurs;radiateurs + planchers chauffants;radiateurs + planchers chauffants
terminaux climatisation;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;Neuf ou Bon état;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;;;;;;;;Conforme;;;;
;descriptif sommaire;;;;;;;SO;SO;?;?;?;SO;SO;SO; CTA, cassettes, chambres froides;SO;Batteries froides CTA;SO;SO
terminaux éclairage;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Etat moyen;Neuf ou Bon état;Etat moyen;Etat moyen;Neuf ou Bon état;Etat moyen;Etat moyen;Etat moyen;Neuf ou Bon état;Etat moyen;Etat moyen;Etat moyen;Etat moyen
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;Tubes T8;Tubes T8 + lampes fluocompactes + équipements scéniques;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T5 à ballasts électro. + divers lampes et luminaires.;T8 + T5 + LEDs (circulations);T8 à ballast ferro. + divers lampes et luminaires.;T8 + T5 + LEDs;T8 à ballast ferro. + divers lampes et luminaires.
GTC/GTB;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;;;;;;;;;;;;
;descriptif sommaire;;;;;;;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO
centrales d'air;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Etat moyen;Neuf ou Bon état;Etat moyen;Mauvais état;Neuf ou Bon état;Etat moyen;Etat moyen;Mauvais état;Neuf ou Bon état;Etat moyen;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;VMC + sorbonnes;naturelles+ caisson d'extraction;ventilation simple flux;VMC + sorbonnes;VMC + extracteurs;4 VMC + 3 CTA;VMC + naturelle + CTA;8 CTA + 8 VMC;"10 CTA, 15 VMC et 6
sorbonnes";VMC + naturelle + CTA;VMC + naturelle;VMC + naturelle + CTA;VMC + naturelle
réseaux ventilation;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;;;;;;;;;;;;
;descriptif sommaire;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
production ECS;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Neuf ou Bon état;Neuf ou Bon état;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;Ballons électriques;echangeur à plaques;Ballons électriques;Ballons électriques;"Production centralisée
avec échangeur à
plaque + ballon
électrique (hors periodes de chauffage)";ballon électrique;chauffe eau électrique;2 ballons électriques;échangeurs à plaques + ballon électrique;ballons électriques;ballons électriques;ballons électriques;échangeurs à plaques + ballon électrique
distribution ECS;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;Neuf ou Bon état;;;Neuf ou Bon état;;;;Neuf ou Bon état;;;;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;Conforme;;;Conforme;;;;Conforme;;;;Conforme
;descriptif sommaire;;;;;;;SO;?;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO
conformité réglementaire / audits / diagnostics;accessibilité;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;ascensseurs (ts les 5ans);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;SSI (périodicité selon catégorie ERP/IGH);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;DPE;;;;;;;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI
;plomb;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;amiante (DTA);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;contrôle électrique (annuel);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;QAI (optionnel);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;légionelle;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;disconecteurs PB;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;porte automatiques;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;groupe froid (annuel);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;Audit Environnemental;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;